block,pow_time_sec,pow_attempts,pos_time_sec,pos_validator
1,0.30168747901916504,20188,0.010704278945922852,Val_Alice
2,0.9923539161682129,73809,0.010441064834594727,Val_Alice
3,3.799577236175537,300706,0.010402202606201172,Val_Alice
4,0.4006516933441162,31955,0.010642528533935547,Val_Alice
5,0.5086476802825928,42279,0.010614156723022461,Val_Alice
